invoice_id,customer_id,category,payment_method,status,issue_date,due_date,payment_date,amount_excl_gst,gst,amount_incl_gst,amount_paid
INV-1001,CUST001,Membership Income,,Open,30-Mar-2026,13/04/2026,,1300.0,130.0,1430.0,0.0
INV-1002,CUST001,Major Sponsorship,EFT,Paid,12/03/2026,26/03/2026,26/03/2026,3850.0,385.0,"$4,235.00","$4,235.00"
INV-1003,CUST001,Document Signing Revenue,BPAY,Paid,04/01/2026,2026/01/18,26/01/2026,31.82,3.18,35.0,35.0
INV-1004,CUST002,Membership Income,,Open,12-Mar-2026,2026/04/11,,2160.0,216.0,2376.0,0.0
INV-1005,CUST002,Document Signing Revenue,EFT,Paid,06/02/2026,08/03/2026,02/03/2026,31.82,3.18,35.0,35.0
INV-1006,CUST002,Event Sponsorship,EFT,Paid,01/01/2026,31/01/2026,03/02/2026,3995.0,399.5,4394.5,4394.5
INV-1007,CUST002,Document Signing Revenue,EFT,Paid,29/01/2026,02/28/2026,02/24/2026,108.4,10.84,119.24,119.24
INV-1008,CUST002,SPONSORSHIP & ADVERTISING,Credit Card,,01/30/2026,01-Mar-2026,2026/02/26,1276.33,127.63,1403.96,1403.96
INV-1009,CUST002,Events Income,,Open,22/03/2026,21/04/2026,,100.0,10.0,110.0,0.0
INV-1010,CUST003,Membership Income,EFT,Paid,07/03/2026,21/03/2026,19/03/2026,1300.0,130.0,1430.0,1430.0
INV-1011,CUST003,Event Sponsorship,EFT,Paid,01/15/2026,29/1/2026,27/01/2026,2000.0,200.0,2200.0,2200.0
INV-1012,CUST003,Event Sponsorship,EFT,Paid,10/02/2026,24/02/2026,21/02/2026,3160.0,316.0,3476.0,3476.0
INV-1013,CUST003,Document Signing Revenue,EFT,Paid,09/03/2026,23/03/2026,24/03/2026,31.82,3.18,$35.00,$35.00
INV-1014,CUST004,Membership Income,,Overdue,13/02/2026,27/02/2026,,1300.0,130.0,1430.0,0.0
INV-1015,CUST004,Events Income,BPAY,Paid,23/01/2026,06/02/2026,24/02/2026,108.4,10.84,$119.24,$119.24
INV-1016,CUST004,Events Income,Direct Debit,Paid,09/03/2026,23/03/2026,16/03/2026,320.85,32.09,352.94,352.94
INV-1017,CUST004,Sponsorship & Advertising,EFT,Paid,28/2/2026,03/14/2026,28/03/2026,395.0,39.5,434.5,434.5
INV-1018,CUST004,Document Signing Revenue,EFT,Paid,22/02/2026,08/03/2026,30/03/2026,32.09,3.21,35.3,35.3
INV-1019,CUST004,Sponsorship & Advertising,Credit Card,Paid,06/02/2026,20/02/2026,19/03/2026,1300.0,130.0,1430.0,1430.0
INV-1020,CUST005,Membership Income,,Open,23/03/2026,06/04/2026,,1300.0,130.0,1430.0,0.0
INV-1021,CUST005,Sponsorship & Advertising,,Open,17/03/2026,31/03/2026,,1276.33,140.39,1403.96,0.0
INV-1022,CUST005,Major Sponsorship,EFT,Paid,18/01/2026,01/02/2026,05/02/2026,3850.0,385.0,4235.0,4235.0
INV-1023,CUST005,Event Sponsorship,BPAY,Paid,16/02/2026,02/03/2026,04/03/2026,3995.0,399.5,4394.5,4394.5
INV-1024,CUST005,,EFT,Paid,01/03/2026,15/03/2026,22/03/2026,1300.0,130.0,1430.0,1430.0
INV-1025,CUST006,Membership Income,Credit Card,Paid,11/01/2026,25/01/2026,18/01/2026,1300.0,130.0,1430.0,1430.0
INV-1026,CUST006,Sponsorship & Advertising,,Open,29/03/2026,12/04/2026,,395.0,39.5,434.5,0.0
INV-1027,CUST006,Document Signing Revenue,EFT,Paid,11/01/2026,25/01/2026,31/01/2026,31.82,3.18,35.0,35.0
INV-1028,CUST006,Document Signing Revenue,,Open,19/03/2026,02/04/2026,,32.09,3.21,35.3,0.0
INV-1029,CUST006,Major Sponsorship,Credit Card,Paid,01/03/2026,15/03/2026,17/03/2026,7022.73,702.27,"$7,725.00","$7,725.00"
INV-1030,CUST006,Event Sponsorship,,Open,29/03/2026,12/04/2026,,3160.0,316.0,3476.0,0.0
INV-1031,CUST006,major sponsorship,EFT,Paid,19/02/2026,05/03/2026,05/03/2026,3850.0,346.5,4235.0,4235.0
INV-1032,CUST007,Membership Income,EFT,Paid,01/02/2026,15/02/2026,19/02/2026,1300.0,130.0,1430.0,1430.0
INV-1033,CUST007,Event Sponsorship,,Overdue,21/02/2026,07/03/2026,,3160.0,316.0,3476.0,0.0
INV-1034,CUST007,Event Sponsorship,EFT,Paid,15/02/2026,01/03/2026,05/03/2026,3160.0,316.0,3476.0,3476.0
INV-1035,CUST007,Events Income,,Open,28/03/2026,11/04/2026,,108.4,10.84,119.24,0.0
INV-1036,CUST008,Membership Income,EFT,Paid,08/01/2026,07-Feb-2026,6/2/2026,2160.0,216.0,2376.0,2376.0
INV-1037,CUST008,Sponsorship & Advertising,Direct Debit,Paid,13/01/2026,12/02/2026,05/02/2026,1300.0,130.0,1430.0,1430.0
INV-1038,CUST008,Major Sponsorship,EFT,Paid,19/02/2026,21/03/2026,12/03/2026,7022.73,632.04,"$7,725.00","$7,725.00"
INV-1039,CUST008,Event Sponsorship,,Open,15-Mar-2026,14/04/2026,,3995.0,399.5,4394.5,0.0
INV-1040,CUST008,Major Sponsorship,,Open,18/03/2026,17/04/2026,,3850.0,385.0,4235.0,0.0
INV-1041,CUST009,MEMBERSHIP INCOME,,Overdue,26/01/2026,09/02/2026,,1300.0,130.0,1430.0,0.0
INV-1042,CUST009,Sponsorship & Advertising,,Overdue,24/02/2026,10/03/2026,,1300.0,130.0,1430.0,0.0
INV-1043,CUST009,Sponsorship & Advertising,,Overdue,12/01/2026,26/01/2026,,1276.33,127.63,1403.96,0.0
INV-1044,CUST010,Membership Income,Direct Debit,Paid,14/02/2026,28/02/2026,18/03/2026,1300.0,130.0,1430.0,1430.0
INV-1045,CUST010,,,Overdue,06/01/2026,20/01/2026,,39.0,3.9,42.9,0.0
INV-1046,CUST010,Events Income,EFT,Paid,03/03/2026,17/03/2026,31/03/2026,150.0,15.0,165.0,165.0
INV-1047,CUST010,Sponsorship & Advertising,EFT,Paid,23/01/2026,06/02/2026,16/02/2026,395.0,39.5,434.5,434.5
